"Complex","Class","R1","HanschPi1","Hammett1","VdW1","R2","HanschPi2","Hammett2","VdW2","R3","HanschPi3","Hammett3","VdW3","R4","HanschPi4","Hammett4","VdW4","R5","HanschPi5","Hammett5","VdW5","R6","HanschPi6","Hammett6","VdW6","Bridge","HanschPi7","Hammett7","VdW7"
"[Ti](Cl)Cl.c1cccc1.c2cccc2","M","","0","0","1.32","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"Cl[Ti](C)(C)Cl.CN(C(C=C1)=CC=C1[C@H]([C@@H](C2=CC=C(N(C)C)C=C2)c3cccc3)c4cccc4)C","M","*C(c1ccc(N(C)C)cc1)","2.638","-0.179","109.78883999999996","*Cc1ccc(N(C)C)cc1","2.638","-0.179","109.78883999999996","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"Cl[Ti](C)(C)Cl.COC(C=C1)=CC=C1Cc2cccc2.COC(C=C3)=CC=C3Cc4cccc4","M","*Cc1ccc(OC)cc1","2.121","-0.12","94.16132999999999","*Cc1ccc(OC)cc1","2.121","-0.12","94.16132999999999","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.COC1=CC(OC)=CC([C@H]([C@@H](C2=CC(OC)=CC(OC)=C2)c3cccc3)c4cccc4)=C1","M","*C(c1cc(OC)cc(OC)c1)","1.868","-0.104","115.05942","*Cc1cc(OC)cc(OC)c1","1.868","-0.104","115.05942","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC[C@@H](C1=CC=CC=C1OC)c2cccc2.CC[C@@H](C3=C(OC)C=CC=C3)c4cccc4","M","*C(CC)c1ccccc1OC","2.121","-0.191","121.87593000000003","*C(CC)c1ccccc1OC","2.121","-0.191","121.87593000000003","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(Br)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(Br)cc1","1.384","-0.042","157.87287","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(OC)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(OC)cc1","1.384","-0.042","163.32768000000007","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(C)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(C)cc1","1.384","-0.042","156.28689000000003","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC(C=CC=C2)=C2C=C1)\CC(C)(C)c3cccc3)Cl.c4cccc4.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc2ccccc2c1","1.384","-0.042","174.99825000000004","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C([N+]([O-])=O)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc([N+](=O)[O-])cc1","1.384","-0.042","163.20753000000002","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
